locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
MX000008184,2023,12,8.75,30.367,-107.95,1487.0,NUEVA_CASAS_GRANDES,MX,Mexico,30.367
MX000014066,2023,12,16.4,20.72,-103.38,1583.0,GUADALAJARA,MX,Mexico,20.72
MX000016144,2023,12,17.55,20.0,-102.28,1540.0,ZAMORA,MX,Mexico,20.0
MX000017004,2023,12,18.1,18.883,-99.233,1618.0,CUERNAVACA,MX,Mexico,18.883
MX000023003,2023,12,,19.7,-87.9,12.0,FELIPE_CARRILLO_PUE,MX,Mexico,19.7
MX000025017,2023,12,21.2,26.733,-108.283,238.0,CHOIX,MX,Mexico,26.733
MX000028116,2023,12,18.25,23.733,-99.133,355.0,CIUDAD_VICTORIA,MX,Mexico,23.733
MX000029030,2023,12,14.2,19.32,-98.23,2240.0,XICOHTENCATL,MX,Mexico,19.32
MX000076393,2023,12,17.8,25.733,-100.3,515.0,MONTERREY_CITY,MX,Mexico,25.733
MX000076458,2023,12,23.8,23.2,-106.417,4.0,COLONIA_JUAN_CARRAS,MX,Mexico,23.2
MX000076577,2023,12,14.7,21.0,-101.283,1999.0,GUANAJUATO,MX,Mexico,21.0
MX000076644,2023,12,24.0,20.983,-89.65,9.0,AEROPINTERNACIONAL,MX,Mexico,20.983
MX000076654,2023,12,,19.05,-104.317,3.0,MANZANILLO,MX,Mexico,19.05
MX000766800,2023,12,15.15,19.4,-99.183,2303.0,MEXICO_CITY,MX,Mexico,19.4
MX000768330,2023,12,,16.167,-95.183,11.0,SALINA_CRUZ,MX,Mexico,16.167
MXM00076040,2023,12,15.84,32.4,-115.183,11.0,EJIDO_NUEVO_LEON_BC,MX,Mexico,32.4
MXM00076061,2023,12,16.4,31.3,-113.55,62.0,PUERTO_PENASCOSON,MX,Mexico,31.3
MXM00076113,2023,12,14.0,30.717,-111.833,398.0,ALTARSON,MX,Mexico,30.717
MXM00076160,2023,12,23.75,29.096,-111.048,191.1,GENERAL_IGNACIO_P_GARCIA_INTL,MX,Mexico,29.096
MXM00076225,2023,12,11.75,28.633,-106.083,1433.0,CHIHUAHUACHIH,MX,Mexico,28.633
MXM00076243,2023,12,15.7,28.627,-100.535,274.6,PIEDRAS_NEGRAS_INTL,MX,Mexico,28.627
MXM00076253,2023,12,19.06,27.393,-109.833,62.5,CIUDAD_OBREGON_INTL,MX,Mexico,27.393
MXM00076256,2023,12,19.8,27.95,-110.767,12.0,EMPALMESON,MX,Mexico,27.95
MXM00076258,2023,12,19.2,27.367,-109.933,40.0,CIUDAD_OBREGONSON,MX,Mexico,27.367
MXM00076323,2023,12,12.4,26.933,-105.667,1661.0,HIDALGO_DEL_PARRALCHIH,MX,Mexico,26.933
MXM00076382,2023,12,16.4,25.568,-103.411,1124.1,TORREON_INTL,MX,Mexico,25.568
MXM00076412,2023,12,23.6,24.765,-107.475,32.9,CULIACAN_INTL,MX,Mexico,24.765
MXM00076423,2023,12,13.19,24.05,-104.6,1872.0,DURANGODGO,MX,Mexico,24.05
MXM00076471,2023,12,12.15,23.633,-103.65,2351.0,SOMBRERETEZAC,MX,Mexico,23.633
MXM00076499,2023,12,19.8,23.767,-98.2,21.0,SOTO_LA_MARINATAMPS,MX,Mexico,23.767
MXM00076519,2023,12,,22.1,-103.267,1673.0,COLOTLANJAL,MX,Mexico,22.1
MXM00076525,2023,12,9.95,22.783,-102.567,2612.0,ZACATECASZAC_LA_BUFAZAC,MX,Mexico,22.783
MXM00076539,2023,12,12.9,22.254,-100.931,1839.5,PONCIANO_ARRIAGA_INTL,MX,Mexico,22.254
MXM00076548,2023,12,21.3,22.2,-97.85,25.0,TAMPICOTAMPS,MX,Mexico,22.2
MXM00076556,2023,12,21.7,21.419,-104.843,920.5,TEPIC,MX,Mexico,21.419
MXM00076571,2023,12,14.35,21.705,-102.318,1862.9,JESUS_TERAN_INTL,MX,Mexico,21.705
MXM00076581,2023,12,17.1,21.933,-99.983,983.0,RIO_VERDESLP,MX,Mexico,21.933
MXM00076585,2023,12,19.75,21.317,-98.817,132.0,MATLAPASLP,MX,Mexico,21.317
MXM00076593,2023,12,24.8,21.3,-89.65,2.0,PROGRESOYUC,MX,Mexico,21.3
MXM00076625,2023,12,13.45,20.617,-100.186,1919.0,QUERETARO_INTERCONTINENTAL,MX,Mexico,20.617
MXM00076632,2023,12,13.3,20.133,-98.75,2435.0,PACHUCAHGO,MX,Mexico,20.133
MXM00076634,2023,12,13.15,20.083,-98.367,2181.0,TULANCINGOHGO,MX,Mexico,20.083
MXM00076640,2023,12,20.7,20.95,-97.4,28.0,TUXPANVER,MX,Mexico,20.95
MXM00076647,2023,12,24.95,20.683,-88.2,27.0,VALLADOLIDYUC,MX,Mexico,20.683
MXM00076656,2023,12,17.45,19.717,-103.467,1515.0,CIUDAD_GUZMANJAL,MX,Mexico,19.717
MXM00076658,2023,12,23.8,19.277,-103.577,751.9,COLIMA,MX,Mexico,19.277
MXM00076665,2023,12,14.17,19.7,-101.183,1913.0,MORELIAMICH,MX,Mexico,19.7
MXM00076675,2023,12,11.3,19.283,-99.683,2720.0,TOLUCAMEX,MX,Mexico,19.283
MXM00076685,2023,12,13.81,19.158,-98.371,2243.6,HERMANOS_SERDAN_INTL,MX,Mexico,19.158
MXM00076687,2023,12,16.1,19.55,-96.917,1389.0,JALAPAVER,MX,Mexico,19.55
MXM00076692,2023,12,23.4,19.15,-96.117,16.0,HACIENDA_YLANG_YLANG_VERACRUZ,MX,Mexico,19.15
MXM00076695,2023,12,24.31,19.817,-90.5,10.4,INGENIERO_ALBERTO_ACUNA_ONGAY,MX,Mexico,19.817
MXM00076737,2023,12,16.73,18.85,-97.1,1259.0,ORIZABAVER,MX,Mexico,18.85
MXM00076741,2023,12,,18.133,-94.417,22.0,COATZACOALCOSVER,MX,Mexico,18.133
MXM00076743,2023,12,24.9,17.983,-92.933,16.0,VILLAHERMOSATAB,MX,Mexico,17.983
MXM00076750,2023,12,25.0,18.505,-88.327,11.9,CHETUMAL_INTL,MX,Mexico,18.505
MXM00076762,2023,12,22.0,17.55,-99.5,1265.0,CHILPANCINGORO,MX,Mexico,17.55
MXM00076775,2023,12,19.83,17.05,-96.717,1518.0,OAXACAOAX,MX,Mexico,17.05
MXM00076805,2023,12,,16.833,-99.933,3.0,ACAPULCOGRO,MX,Mexico,16.833
MXM00076840,2023,12,27.15,16.233,-93.9,48.0,ARRIAGACHIS,MX,Mexico,16.233
MXM00076843,2023,12,23.6,16.77,-93.341,1051.9,FRANCISCO_SARABIA,MX,Mexico,16.77
MXM00076845,2023,12,14.95,16.75,-92.633,2116.0,SN_CRISTOBAL_LAS_CASASCHIS,MX,Mexico,16.75
MXM00076848,2023,12,17.9,16.25,-92.133,1646.0,COMITANCHIS,MX,Mexico,16.25
MXM00076855,2023,12,27.84,15.683,-96.483,46.0,PUERTO_ANGELOAX,MX,Mexico,15.683
MXM00076903,2023,12,29.25,14.917,-92.25,118.0,TAPACHULACHIS,MX,Mexico,14.917
